medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
transfused,transfused,Giving someone blood from another person.,3,2.78,3,Knee Surgery - Discharge Summary | GI Bleed - Discharge Summary | Discharge Summary - 2,The patient was transfused with 2 units of autologous blood postoperatively.,,,
visual,visual,Related to what you can see.,3,2.78,3,Speech Therapy - Discharge Summary - 2 | ER Report - Chest Pain & Fever | Discharge Summary - Lymphoma,"The patient continues to have difficulty with visual scanning in cancellation task, secondary to her significant left neglect.",,,
thigh,thigh,The upper part of your leg between your hip and knee.,2,1.85,9,Discharge Summary - Multiple Trauma | Chronic Abscesses - Discharge Summary,"Pain in joint pelvic region/thigh.,18.",,,
bile,bile,A liquid produced by the liver and stored in the gallbladder that aids in digesting food.,2,1.85,8,Discharge Summary - 14 | Cholecystitis - Discharge Summary,Colonoscopy did reveal diverticulosis and EGD showed retained bile and possible gastritis.,,,
orally,orally,It means relating to the mouth.,2,1.85,8,Discharge Summary - 3 | Discharge Summary - 19,"Her bronchospasm also responded to the aggressive bronchodilation and steroid therapy.,DISCHARGE MEDICATIONS:, Prednisolone 60 mg orally once daily, albuterol 2.5 mg nebulized every 4 hours, Atrovent Respules to be nebulized every 6 hours, Pulmicort 500 micrograms nebulized twice every 8 hours, Coumadin 5 mg orally once daily, magnesium oxide 200 mg orally once daily.,TRANSFER INSTRUCTIONS:, The patient is to be strictly kept on bi-level PAP of 15 I-PAP/E-PAP of 5 cm and FIO2 of 35% for most of the times during the day.",,,
pap,Pap,Blood pressure in the artery that goes from the heart to the lungs.,2,1.85,8,Hysterectomy - Discharge Summary - 2 | Discharge Summary - 3,"She had an abnormal Pap smear in the 80s, which she failed to followup on until this year.",,,
apnea,apnea,Apnea is when breathing stops.,2,1.85,7,Neonatal Discharge Summary - 1 | Discharge Summary - 16,"Feeding amounts at the time of discharge was between 35 to 50 mL per feed and weight was 1797 grams.,RESPIRATIONS: , At the time of admission, baby was not having any apnea spells, no bradycardia or desaturations, was saturating well on room air and continued to do well on room air until the time of discharge.,HYPOGLYCEMIA: , Baby began to experience hypoglycemic episodes on 07/24/2006.",,,
bile duct,bile duct,A tube that carries bile from the liver to the small intestine.,2,1.85,7,Pancreatic Mass - Discharge Summary | Cholecystitis - Discharge Summary,"This revealed a strictured pancreatic duct, as well as strictured bile duct.",,,
irrigation,Irrigation,Irrigation is when you clean out a body cavity or wound with a stream of water or fluid.,2,1.85,7,Discharge Summary - Peripheral vascular disease | Discharge Summary - ATV Accident,"Irrigation and debridement of right below-knee amputation wound on July 21, 2008, July 24, 2008, July 28, 2008, and August 1, 2008.,HISTORY OF PRESENT ILLNESS: , The patient is an 89-year-old gentleman with multiple medical conditions including coronary artery disease, hypothyroidism, and severe peripheral vascular disease status post multiple revascularizations, and a right below-knee amputation in June 2008 following a thrombosis of his right femoropopliteal bypass graft.",,,
prostate,prostate,A gland responsible for producing the fluid in semen.,2,1.85,7,Urology Discharge Summary | Discharge Summary - Urology,"PROCEDURES:, Cystourethroscopy and transurethral resection of prostate.,COMPLICATIONS:, None.,ADMITTING DIAGNOSIS:, Difficulty voiding.,HISTORY:, This 67-year old Hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction.",,,
tibial plateau,tibial plateau,The top part of the shin bone in the knee.,2,1.85,7,ORIF - Discharge Summary | Discharge Summary - Multiple Trauma,"ADMISSION DIAGNOSIS: , Right tibial plateau fracture.,DISCHARGE DIAGNOSES: , Right tibial plateau fracture and also medial meniscus tear on the right side.,PROCEDURES PERFORMED:, Open reduction and internal fixation (ORIF) of right Schatzker III tibial plateau fracture with partial medial meniscectomy.,CONSULTATIONS: , To rehab, Dr.",,,
bariatric,Bariatric,Surgery on stomach and intestines to help with weight loss.,2,1.85,6,Gastric Bypass Summary | Discharge Summary - 11,"Obstructive sleep apnea, on CPAP.,OPERATION AND PROCEDURE: , Laparoscopic Roux-en-Y gastric bypass.,BRIEF HOSPITAL COURSE SUMMARY: ,This is a 30-year-old male, who presented recently to the Bariatric Center for evaluation and treatment of longstanding morbid obesity and associated comorbidities.",,,
frontal,frontal,The front part of the brain that controls various functions.,2,1.85,6,Neurology - Discharge Summary | Discharge Summary - 5,"Contusion of the frontal lobe of the brain.,2.",,,
graft,Graft,When a doctor replaces damaged tissue with healthier tissue or synthetic materials.,2,1.85,6,Chronic Abscesses - Discharge Summary | Back & Leg Pain - Discharge Summary,Split thickness skin graft to right thigh and right hip massive open wound on 04/01/08 by Dr.,,,
gram-negative,Gram-negative,Bacteria that don't take on a particular stain and are part of a big group.,2,1.85,6,Discharge Summary - Lymphoma | Discharge Summary - 8,"Gram-negative bacteremia.,3.",,,
hematuria,hematuria,Seeing blood in your pee.,2,1.85,6,Urology Discharge Summary | Discharge Summary - Urology,"He is being discharged in satisfactory condition with a good urinary stream, minimal hematuria, and on Bactrim DS one a day for ten days with a standard postprostatic surgery instruction sheet.",,,
hemicolectomy,hemicolectomy,Surgery to remove a part of the large intestine.,2,1.85,6,Multiple Medical Problems - Discharge Summary | Discharge Summary - 4,"Colon cancer, status post right hemicolectomy.,2.",,,
hiatal hernia,hiatal hernia,"When part of your stomach squeezes through your diaphragm, that's a hiatal hernia.",2,1.85,6,Discharge Summary - 19 | Discharge Summary - 10,"Urine culture grew 50-100,000 colonies of Enterococcus susceptible to ampicillin and nitrofurantoin.,Chest x-ray showed enlarged heart with large intrathoracic hiatal hernia.",,,
hypoglycemia,hypoglycemia,"When the sugar levels drop too low, it causes hypoglycemia.",2,1.85,6,Neonatal Discharge Summary - 1 | Multiple Medical Problems - Discharge Summary,"ADMITTING DIAGNOSES:, Respiratory distress syndrome, intrauterine growth restriction, thrombocytopenia, hypoglycemia, retinal immaturity.,HISTORY OF PRESENTING ILLNESS: , The baby is an ex-32 weeks small for gestational age infant with birth weight 1102.",,,
serologies,serologies,A test to find out if certain substances in your blood suggest you might have a disease.,2,1.85,6,Discharge Summary - 7 | Discharge Summary - 8,He ordered serologies for CMV including a CMV blood PCR.,,,
stone,stone,A stone is a hard clump of mineral salts that can form inside a part of your body.,2,1.85,6,Lap Chole - Discharge Summary | Cholecystitis - Discharge Summary,There is sludge in the gallbladder wall versus a stone in the gallbladder wall.,,,
dysphagia,dysphagia,Having difficulty swallowing is known as dysphagia.,2,1.85,5,Pneumonia & COPD - Discharge Summary | Neck Pain - Discharge Summary,"The patient was able to participate with physical therapy, able to ambulate from his bed to the bathroom, and was able to tolerate a dysphagia 2 diet.",,,
flagyl,Flagyl,"A medication that helps with bacterial and parasitic infections, also known as metronidazole.",2,1.85,5,Discharge Summary - Peripheral vascular disease | Discharge Summary - 17,"He was also started on Flagyl, empirically.",,,
grafting,grafting,Grafting is when a doctor replaces damaged tissue with healthy tissue or a synthetic substitute.,2,1.85,5,Discharge Summary - Peripheral vascular disease | Chronic Abscesses - Discharge Summary,"Peripheral vascular disease status post aortobifemoral bypass and bilateral femoropopliteal bypass grafting.,3.",,,
lymphoma,lymphoma,Lymphoma is a type of cancer that attacks the immune system cells.,2,1.85,5,Lap Chole - Discharge Summary | Discharge Summary - Lymphoma,"Skin lymphoma 5 years ago.,8.",,,
medial,medial,Moving towards the middle.,2,1.85,5,ORIF - Discharge Summary | Cardiac Transfer Summary,"ADMISSION DIAGNOSIS: , Right tibial plateau fracture.,DISCHARGE DIAGNOSES: , Right tibial plateau fracture and also medial meniscus tear on the right side.,PROCEDURES PERFORMED:, Open reduction and internal fixation (ORIF) of right Schatzker III tibial plateau fracture with partial medial meniscectomy.,CONSULTATIONS: , To rehab, Dr.",,,
neutropenic,neutropenic,Having fewer white blood cells than usual to fight off infections.,2,1.85,5,Leiomyosarcoma | Discharge Summary - Lymphoma,"She did not require transfusion of red blood cells or platelets; however, on 07/26/2008 her ANC did dip to 900 and she was placed on neutropenic diet.",,,
osteoporosis,Osteoporosis,Osteoporosis is when bones become weak and prone to breaking because they lose density.,2,1.85,5,Discharge Summary - 19 | Death Summary - 2,"Osteoporosis.,5.",,,
reduction,reduction,"A reduction is a surgery to fix a broken bone, dislocated joint, or put a body part back in its original position.",2,1.85,5,ORIF - Discharge Summary | Discharge Summary - ATV Accident,"ADMISSION DIAGNOSIS: , Right tibial plateau fracture.,DISCHARGE DIAGNOSES: , Right tibial plateau fracture and also medial meniscus tear on the right side.,PROCEDURES PERFORMED:, Open reduction and internal fixation (ORIF) of right Schatzker III tibial plateau fracture with partial medial meniscectomy.,CONSULTATIONS: , To rehab, Dr.",,,
renal cell carcinoma,renal cell carcinoma,Most common type of kidney cancer.,2,1.85,5,Discharge Summary - Urology | Discharge Summary - Nephrology,"Complex renal cyst versus renal cell carcinoma or other tumor.,4.",,,
total knee arthroplasty,total knee arthroplasty,Getting a new knee joint through surgery to replace a damaged one.,2,1.85,5,Knee Arthroplasty - Discharge Summary | Knee Osteoarthrosis - Discharge Summary,"ADMISSION DIAGNOSIS:, Painful right knee status post total knee arthroplasty many years ago.",,,
ulcer,ulcer,A sore that's open.,2,1.85,5,Discharge Summary - Multiple Trauma | Discharge Summary - 9,"Decubitus ulcer, lower back.,3.",,,
vascular,vascular,Blood vessels where blood travels.,2,1.85,5,Pneumonia & COPD - Discharge Summary | Discharge Summary - Peripheral vascular disease,The patient's chest x-ray on admission revealed some mild vascular congestion and bilateral pleural effusions that appeared to be unchanged.,,,
anc,ANC,A type of white blood cell in the blood that fights infections.,2,1.85,4,Leiomyosarcoma | Discharge Summary - Lymphoma,"On admission, the patient's white blood count was 3.4, hemoglobin 11.3, platelet count 82, and ANC of 2400.",,,
bacteremia,bacteremia,A serious condition where bacteria are found in the bloodstream.,2,1.85,4,Discharge Summary - Lymphoma | Discharge Summary - 8,"Gram-negative bacteremia.,3.",,,
basal,basal,At the very bottom or foundation of something.,2,1.85,4,Multiple Medical Problems - Discharge Summary | Discharge Summary - 1,Her insulin pump had a basal rate of roughly three at night during the feedings.,,,
cardiac cath,cardiac cath,A medical procedure where a thin tube is inserted into an artery to diagnose and treat heart conditions.,2,1.85,4,Discharge Summary - COPD | Cardiac Transfer Summary,"The patient's last cardiac cath was in 2008.,The patient clinically significantly improved and wants to go home.",,,
celebrex,Celebrex,"A medication that helps with reducing pain and swelling, commonly used for arthritis.",2,1.85,4,Knee Surgery - Discharge Summary | Hip Surgery - Discharge Summar,"She reports having some right knee pain, which is most intense at a ""certain position."" The patient is unable to elaborate on which ""certain position"" causes her the most discomfort.,ALLERGIES:, NKDA.,PAST MEDICAL HISTORY: , Hypertension, hypothyroidism, degenerative joint disease, GERD, anxiety disorder, Morton neuroma of her feet bilaterally, and distant history of migraine headaches some 30 years ago.,MEDICATIONS:, On transfer, Celebrex, Coumadin, Colace, Synthroid, Lovenox, Percocet, Toprol XL, niacin, and trazodone.,PHYSICAL EXAMINATION:,VITAL SIGNS: Temperature 96.5, blood pressure 127/72, pulse 70, respiratory rate 20, 95% O2 saturation on room air.,GENERAL: No acute distress at the time of the exam except as mentioned above complains of right knee pain at ""certain position."",HEENT: Normocephalic.",,,
cerebrovascular accident,Cerebrovascular accident,"A cerebrovascular accident is just a stroke, causing damage to the brain due to lack of blood flow.",2,1.85,4,CVA - Discharge Summary | Discharge Summary - 1,"Cerebrovascular accident (CVA) with right arm weakness.,2.",,,
cipro,Cipro,Cipro is a medication used to fight certain bacterial infections.,2,1.85,4,Discharge Summary - Lymphoma | Discharge Summary - 1,"On the day prior to discharge, she was transitioned to oral Cipro and remained afebrile.",,,
decortication,decortication,Decortication is the process of removing the outer layer of an organ.,2,1.85,4,Discharge Summary - Nephrology | Discharge Summary - Mesothelioma - 1,"Coronary artery disease.,PROCEDURES: , Robotic-Assisted laparoscopic left renal cyst decortication and cystoscopy.,HISTORY OF PRESENT ILLNESS: , Mr.",,,
degenerative joint disease,degenerative joint disease,Degenerative joint disease is when your joints hurt and swell because the cartilage is wearing away.,2,1.85,4,Knee Surgery - Discharge Summary | Discharge Summary - 12,"CHIEF COMPLAINT:, Decreased ability to perform daily living activities secondary to right knee surgery.,HISTORY OF PRESENT ILLNESS: , The patient is a 61-year-old white female status post right total knee replacement secondary to degenerative joint disease performed by Dr.",,,
