medical_term,plain_language_explanation,filtering_method
dbm,A type of bone that can be used for bone grafts.,README-based filtered glossary with task-specific patient-facing relevance filtering
de quervain 's tenosynovitis,Swelling causing wrist pain near the base of the thumb.,README-based filtered glossary with task-specific patient-facing relevance filtering
debility,Debility is when you feel tired and weak.,README-based filtered glossary with task-specific patient-facing relevance filtering
debride,Clean out and remove damaged or foreign materials from a wound.,README-based filtered glossary with task-specific patient-facing relevance filtering
debridement,Surgical procedure to remove infected or dead tissue from a wound.,README-based filtered glossary with task-specific patient-facing relevance filtering
debridement of wound,Cleaning out the bad stuff from a wound.,README-based filtered glossary with task-specific patient-facing relevance filtering
debridements,Surgery to clean out infected and dead tissue from a wound.,README-based filtered glossary with task-specific patient-facing relevance filtering
debulking,Cutting out as much of a tumor as can be taken out.,README-based filtered glossary with task-specific patient-facing relevance filtering
decadron,Decadron is a drug that reduces swelling and inflammation and belongs to the category of steroids.,README-based filtered glossary with task-specific patient-facing relevance filtering
decalcification,"When calcium is removed from teeth or bones, it can make the tissue softer, which is called decalcification.",README-based filtered glossary with task-specific patient-facing relevance filtering
decidua,Changes in the uterus to get ready for a possible pregnancy.,README-based filtered glossary with task-specific patient-facing relevance filtering
decidual,Changes in the uterus to get ready for a possible pregnancy.,README-based filtered glossary with task-specific patient-facing relevance filtering
decidualized,Changes in the uterus to get ready for pregnancy.,README-based filtered glossary with task-specific patient-facing relevance filtering
decitabine,A medication for certain blood cancer treatments.,README-based filtered glossary with task-specific patient-facing relevance filtering
decline,Get worse over time or decrease in value.,README-based filtered glossary with task-specific patient-facing relevance filtering
decompensation,When something that used to function properly starts breaking down.,README-based filtered glossary with task-specific patient-facing relevance filtering
